,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
39,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[39],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
3,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[3],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
40,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[40],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
41,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[41],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
42,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[42],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
43,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[43],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
44,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[44],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
45,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[45],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
46,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[46],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
47,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[47],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
48,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[48],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
49,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[49],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
4,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[4],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
5,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[5],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
6,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[6],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
7,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[7],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
8,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[8],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
9,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[9],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
